File,Board,Year,Title,Number
,Plan Commission,,1996-10 Thru 1996-12 Plan Commission Packets,CB217
,Plan Commission,,1997 Plan Commission Packets & Minutes,CB217
,Plan Commission,,1997-01 Thru 1997-04 Plan Commission Packets Book 1,CB217
,Plan Commission,,1997-05 Thru 1997-12 Plan Commission Packets Binder 2,CB218
,Plan Commission,,1998 Plan Commission Minutes,CB218
,Plan Commission,,1998-01 Thru 1998-05 Plan Commission Packets,CB218
,Plan Commission,,1998-06 Thru 1998-12 Plan Commission Packets,CB218
,Plan Commission,,1999 Plan Commission Minutes & Vote Sheets,CB218
,Plan Commission,,1999-01 Thru 1999-05 Plan Commission Packets,CB219
,Plan Commission,,1999-06 Thru 1999-12 Plan Commission Packets,CB219
,Plan Commission,,2000 Plan Commission Minutes & Vote Sheets,CB219
,Plan Commission,,2000-01 Thru 2000-06 Plan Commission Packets,CB219
,Plan Commission,,2000-07 Thru 2000-12 Plan Commission Packets,CB219
,Plan Commission,,2003-01 Thru 2003-12 Plan Commission Packets,CB220
,Plan Commission,,2002-01 Thru 2002-12 Plan Commission Packets,CB220
,Plan Commission,,2002 Plan Comission Minutes,CB220
,Plan Commission,,2001-01 Thru 2001-12 Plan Commission Packets,CB220
,Plan Commission,,2001 Plan Commission Minutes And Vote Sheets,CB220
,Plan Commission,,2005 Plan Commission Packets & Minutes,CB221
,Plan Commission,,2006 Plan Commission Packets & Minutes,CB221
,Plan Commission,,2007 Plan Commission Packets & Minutes,CB221
,Plan Commission,,2008 Plan Commission Packets & Minutes,CB221
,Plan Commission,,2009 Plan Commission Packets & Minutes,CB221
,Plan Commission,,2010 Plan Commission Packets & Minutes,CB222
,Plan Commission,,2011 Plan Commission Packets & Minutes,CB222
,Plan Commission,,2012 Plan Commission Packets & Minutes,CB222
,Plan Commission,,2013 Plan Commission Packets & Minutes,CB222
,Plan Commission,,2014 Plan Commission Packets & Minutes,CB222
,Board of Zoning Appeals,,1971-06-24 Thru 1972-12-18 Board Of Zoning Appeals,CB223
,Board of Zoning Appeals,,1972-1974 Board Of Zoning Appeals,CB223
,Board of Zoning Appeals,,1975 Board Of Zoning Appeals,CB223
,Board of Zoning Appeals,,1976 Board Of Zoning Appeals,CB223
,Board of Zoning Appeals,,1977 Board Of Zoning Appeals,CB223
,Board of Zoning Appeals,,1978-02-09 Thru 1978-06-22 Board Of Zoning Appeals,CB224
,Board of Zoning Appeals,,1978-07-27 Thru 1979-01-04 Board Of Zoning Appeals,CB224
,Board of Zoning Appeals,,1979 Board Of Zoning Appeals Packets,CB224
,Board of Zoning Appeals,,1980 Packets BZA Black Book Agenda Minutes Voting Sheet Findings Forms Packet,CB224
,Plan Commission,,1973 Plan Commission Minutes,CB225
,Plan Commission,,1974 Plan Commission Minutes,CB225
,Plan Commission,,1975 Plan Commission Minutes Agendas Memos,CB225
,Plan Commission,,1975 Plan Commission Packets,CB225
,Board of Zoning Appeals,,1981 Board Of Zoning Appeals Packets,CB225
,Plan Commission,,1976 Plan Commission Minutes Agendas Memos,CB226
,Plan Commission,,1976 Plan Commission Packets I,CB226
,Plan Commission,,1976 Plan Commission Packets II,CB226
,Plan Commission,,1976 Plan Commission,CB226
,Plan Commission,,1977 Plan Commission Minutes Agendas Memos,CB226
,Plan Commission,,1977 Plan Commission Packets I,CB227
,Plan Commission,,1978 Plan Commission Minutes Agendas Memos,CB227
,Plan Commission,,1978-01-09 Thru 1978-05-08 Plan Commission,CB227
,Plan Commission,,1978-05-22 Through End Of Year Plan Commission,CB227
,Plan Commission,,1980 Plan Commission Agendas And Minutes,CB228
,Plan Commission,,1980 Plan Commission Packets Vol. I,CB228
,Plan Commission,,1979 Plan Commission Minutes,CB228
,Plan Commission,,1979 Plan Commission Packets,CB228
,Plan Commission,,1982-09-20 Thru 1982-12-13 Plan Commission Packets,CB229
,Plan Commission,,1981 Plan Commission Agendas & Minutes,CB229
,Plan Commission,,1981 August Thru December Plan Commission Packets,CB229
,Plan Commission,,1981 Plan Commission Packets January Through July,CB229
,Plan Commission,,1982 Plan Commission Packets,CB230
,Plan Commission,,1982 Plan Commission Minutes And Agenda,CB230
,Plan Commission,,1983 Plan Commission Agendas Minutes,CB230
,Plan Commission,,1983-01 Thru 1983-06 Plan Commission Packets,CB230
,Plan Commission,,1983-07 Thru 1973-12 Plan Commission Packets,CB231
,Plan Commission,,1984 Plan Commission Minutes & Agendas,CB231
,Plan Commission,,1984-01-09 Through 1984-06-11 Plan Commission Full Packets,CB231
,Plan Commission,,1984-06-25 Through 1984-12-10 Plan Commission Full Packets,CB231
,Plan Commission,,1985 Plan Commission Minutes And Agendas,CB232
,Plan Commission,,1985-01 Thru 1985-06 Plan Commission,CB232
,Plan Commission,,1985-06 Thru 1985-12 Plan Commission,CB232
,Plan Commission,,1986 Plan Commission Packets,CB232
,Plan Commission,,1986-01 Thru 1986-12 Plan Commission Minutes & Agendas,CB233
,Plan Commission,,1986-07 Thru 1986-12 Plan Commission Meeting Packet,CB233
,Plan Commission,,"1987 Plan Commission Minutes, Agendas, & Vote Sheets",CB233
,Plan Commission,,1987-07 Through 1987-12 Plan Commission Meeting Packets,CB233
,Plan Commission,,1987 Plan Commission,CB233
,Plan Commission,,1988 Plan Commission Minutes-Agendas,CB234
,Plan Commission,,1988 Plan Comission,CB234
,Plan Commission,,1998-07 Thru 1998-12 Plan Commission,CB234
,Plan Commission,,1989 Plan Commission Minutes-Agendas,CB234
,Plan Commission,,1989 Plan Commission Packets,CB234
,Plan Commission,,1991 Plan Commission Minutes,CB235
,Plan Commission,,1990-07 Thru 1990-12 Plan Commission Packets,CB235
,Plan Commission,,1990-01 Thru 1990-06 Plan Commission Packets,CB235
,Plan Commission,,1990 Plan Commission Minutes & Agendas,CB235
,Plan Commission,,1992-01 Thru 1992-06 Plan Commission Packets,CB236
,Plan Commission,,1992 Plan Commission Minutes,CB236
,Plan Commission,,1991-08 Thru 1991-12 Plan Commission Packets,CB236
,Plan Commission,,1991 Plan Commission Packets,CB236
,Plan Commission,,1992-07 Thru 1992-12 Plan Commission Packets,CB237
,Plan Commission,,1993 Plan Commission Minutes,CB237
